xmin xmax ymin ymax
1347 1588 332 793
1570 1773 313 693
1367 1500 185 484
1249 1350 55 257
1677 1826 267 585
1217 1301 16 191
1471 1545 60 264
1168 1224 1 53
1371 1596 330 788
1586 1762 308 664
1247 1342 38 255
1360 1545 240 469
1237 1333 27 164
1735 1802 284 437
1477 1586 75 279
846 1049 296 864
1446 1566 181 398
1462 1567 61 266
1250 1345 55 253
1214 1296 19 183
1564 1762 322 758
1715 1824 270 510
1734 1920 415 772
1163 1249 1 81
1563 1814 346 746
903 1020 86 437
1431 1549 174 397
1476 1588 75 285
1253 1341 56 254
1713 1825 281 426
1239 1299 33 114
1165 1273 69 197
1165 1225 1 80
1731 1920 423 775
1566 1805 341 754
1633 1769 243 462
843 953 44 359
1425 1548 166 407
1738 1920 464 772
1243 1351 53 253
1356 1445 1 131
1161 1279 13 189
1179 1239 1 54
1245 1305 43 105
1568 1803 348 749
1425 1556 189 406
869 953 3 246
1247 1346 62 237
1170 1264 10 173
1266 1299 67 105
1474 1547 101 207
1185 1242 1 53
1628 1832 317 690
1367 1565 217 467
1174 1280 24 201
1250 1346 57 250
1074 1136 1 103
1310 1378 18 89
1287 1624 390 912
1366 1505 176 459
1239 1328 44 255
1221 1301 20 168
1177 1244 1 57
1581 1822 306 711
1388 1532 199 427
1224 1306 22 224
1262 1349 51 227
1582 1790 296 709
1417 1549 198 489
1242 1324 41 255
1236 1307 20 154
1570 1803 296 727
1406 1577 218 426
1271 1383 59 250
1192 1285 21 192
1573 1832 313 742
1451 1642 183 398
1270 1378 59 245
1191 1274 19 189
1168 1207 3 42
1854 1920 440 596
1579 1795 293 716
1428 1547 175 409
1263 1373 53 215
1190 1292 19 186
1666 1854 296 693
1360 1519 164 407
1271 1383 53 239
1382 1449 5 140
1192 1285 100 205
1547 1760 261 705
1382 1537 176 479
1264 1357 53 207
938 1002 1 187
1234 1289 82 153
1192 1266 110 196
1055 1129 1 105
1532 1764 259 705
1400 1541 161 468
1261 1350 54 249
942 1008 1 188
1236 1298 75 148
1072 1136 1 92
1193 1266 107 196
1577 1770 261 689
1453 1567 185 401
1254 1341 50 248
1186 1269 107 185
882 934 1 152
1003 1081 1 83
1357 1503 157 467
767 885 115 440
1259 1354 132 288
1221 1318 67 201
860 932 1 179
1361 1512 170 453
855 981 47 302
1246 1367 67 194
1258 1341 3 78
1440 1521 140 226
1180 1271 95 182
1381 1519 159 471
1293 1391 57 202
1422 1532 131 253
865 926 1 125
1181 1283 93 208
1239 1311 95 169
1328 1399 5 108
1290 1350 1 103
1128 1180 1 74
1385 1520 167 474
1282 1392 66 200
1151 1265 30 166
842 904 1 123
819 1072 428 990
1352 1601 336 841
1574 1781 309 723
1352 1564 232 413
1236 1341 90 258
1195 1273 43 165
1243 1325 60 166
1234 1312 23 106
857 1134 472 1032
1357 1580 332 833
1578 1773 307 719
1426 1554 179 411
1243 1349 89 258
1216 1285 53 170
1254 1363 49 155
1257 1305 20 92
874 1116 438 1026
1391 1638 359 839
1594 1796 321 722
942 1073 15 322
1391 1516 162 470
1206 1290 54 198
1154 1257 94 244
921 1165 503 1055
1498 1736 367 831
1660 1847 307 695
1421 1544 162 412
916 1016 20 328
1226 1303 43 212
839 914 1 149
1245 1318 26 110
945 1236 546 1056
1480 1675 338 824
1612 1802 307 701
1429 1558 170 457
898 983 1 268
1232 1301 46 214
1391 1470 1 133
1077 1393 456 1003
1481 1728 367 793
1662 1804 303 693
1414 1558 172 402
896 981 1 274
1227 1309 46 215
1381 1458 1 136
991 1057 1 75
1230 1306 26 100
1254 1577 392 890
1599 1798 320 718
1738 1918 368 674
1376 1527 189 430
1227 1310 44 218
1055 1116 13 102
1254 1472 357 872
1417 1546 201 432
1242 1308 44 200
1066 1144 5 115
1606 1797 323 716
1235 1298 1 45
1172 1225 1 44
1781 1920 458 726
1205 1458 358 876
1607 1799 322 717
1418 1563 205 407
1237 1314 42 225
1059 1122 11 127
1776 1920 441 727
1255 1491 380 867
1601 1797 316 711
1377 1528 200 399
1237 1320 35 237
1064 1125 7 94
1255 1482 357 874
1602 1799 316 720
1399 1545 185 407
1230 1330 45 212
781 864 1 154
1769 1920 439 733
1057 1123 1 113
1236 1313 28 115
1251 1481 361 872
1586 1772 297 694
862 971 27 353
1420 1544 172 392
1240 1314 49 202
1059 1158 26 133
1251 1468 360 870
1589 1759 302 696
1757 1920 424 716
1429 1558 190 434
1219 1340 97 240
1284 1353 63 164
1242 1297 27 111
1070 1131 9 125
1313 1631 340 830
1588 1775 297 693
1358 1478 112 454
1434 1555 171 423
1270 1378 59 220
1221 1306 46 207
1073 1137 1 123
1236 1308 25 107
1652 1750 231 374
1336 1522 309 800
1422 1530 113 317
1439 1563 176 387
1579 1667 167 385
1264 1388 76 218
1245 1323 25 100
1592 1789 300 693
1228 1318 55 174
1070 1136 2 120
1346 1568 351 827
1593 1774 294 687
1414 1506 107 410
1441 1568 187 408
1301 1388 71 246
1237 1303 39 252
1352 1433 64 170
1075 1133 4 109
1314 1602 370 846
1428 1550 177 417
1421 1498 114 307
1241 1303 56 252
1300 1389 58 200
1245 1290 26 96
1071 1140 5 120
1605 1775 301 697
1314 1579 368 859
1592 1786 296 689
1391 1537 164 433
1240 1302 42 246
1297 1385 55 202
1425 1519 109 251
1238 1296 28 107
1071 1134 6 113
1547 1764 369 808
1393 1535 195 426
1300 1406 59 181
1233 1299 48 209
1426 1507 106 262
1075 1129 9 120
1257 1308 27 103
1755 1914 353 641
1539 1729 330 774
1399 1541 209 423
1430 1515 115 277
1307 1408 73 199
1138 1227 42 169
1135 1181 6 105
1235 1300 30 127
1748 1893 350 648
1516 1788 357 757
1413 1550 199 457
1279 1374 61 241
1422 1515 110 284
1172 1262 43 169
1757 1910 336 640
1535 1788 357 755
1393 1539 214 445
1277 1386 62 247
1125 1227 41 166
1422 1511 119 275
1239 1317 34 166
1509 1608 118 303
1737 1905 335 644
1569 1802 381 837
1400 1530 202 466
1427 1518 113 273
1232 1299 51 200
1294 1381 53 183
1518 1598 122 256
1540 1791 361 758
1397 1540 198 405
1430 1517 112 274
1298 1385 58 198
1228 1297 46 198
1751 1909 361 644
1516 1607 116 258
1536 1779 359 757
1412 1541 223 478
1430 1518 110 284
1287 1395 77 207
1236 1306 49 230
1506 1611 126 253
1763 1920 335 633
1268 1323 28 116
1542 1755 355 792
1388 1529 189 469
1303 1411 74 246
1217 1299 40 186
1448 1531 113 208
1748 1916 352 649
1516 1603 128 250
1267 1319 31 113
1536 1762 344 761
1410 1539 205 421
1242 1326 48 241
1427 1518 111 267
1173 1229 49 165
1685 1781 251 458
1540 1747 332 759
1425 1555 187 403
1415 1508 111 311
1259 1344 51 242
1167 1248 45 171
1657 1790 226 406
1525 1601 124 270
1438 1514 79 176
1541 1735 326 758
1412 1560 197 406
1415 1528 118 299
1262 1351 58 220
1686 1773 236 393
1170 1258 47 164
1536 1601 140 232
1542 1765 338 770
1438 1613 201 426
1649 1763 237 412
1258 1361 45 193
1188 1261 49 178
1556 1789 345 742
1754 1907 338 644
1454 1595 185 435
1654 1780 227 461
1205 1327 81 250
1211 1272 49 122
1557 1747 324 745
1457 1636 209 445
1242 1341 51 257
1666 1783 227 398
1523 1599 129 214
1753 1907 345 638
1553 1757 332 742
1442 1562 184 422
1671 1781 231 411
1203 1293 47 198
1265 1372 71 220
1502 1620 128 255
1753 1901 324 646
1551 1761 332 744
1730 1890 316 615
1441 1544 172 427
1275 1385 74 211
874 957 1 182
1210 1286 46 186
1519 1593 133 291
1666 1790 229 416
1551 1753 327 745
1710 1877 304 626
1447 1549 179 417
1208 1312 39 194
1686 1790 234 332
1531 1616 127 249
1206 1249 9 45
1561 1781 346 785
1449 1571 192 421
1237 1327 45 252
1463 1537 89 272
1209 1276 41 172
1645 1776 224 442
1171 1236 1 51
1560 1771 348 785
1398 1521 174 406
1642 1768 224 432
1249 1329 35 245
1207 1280 45 184
1508 1605 109 250
1170 1227 1 46
1551 1761 333 742
1400 1516 182 419
1253 1321 37 235
1209 1279 51 177
1515 1614 124 249
1655 1752 227 401
1150 1227 2 51
1578 1805 335 744
1382 1505 169 469
1649 1755 228 439
1111 1179 21 155
1199 1273 45 167
1190 1262 1 54
1509 1592 119 269
1004 1169 86 480
1733 1897 354 707
1357 1483 152 471
1636 1741 220 460
1142 1208 44 164
1119 1176 1 93
823 965 59 451
1702 1880 305 648
1358 1501 181 472
1631 1762 220 467
1158 1258 43 174
1085 1151 24 126
736 814 78 403
1499 1631 113 262
1399 1524 157 390
1707 1867 308 597
812 933 72 425
902 984 23 372
1356 1508 171 474
1630 1771 220 466
1164 1274 39 179
1397 1541 166 374
1492 1594 112 312
825 949 71 423
1708 1880 310 595
1362 1519 180 471
1634 1768 228 471
868 968 13 354
1162 1247 36 172
1227 1303 13 154
1494 1583 108 256
1396 1529 164 375
1707 1861 310 595
1351 1508 172 477
